Run,Steps,Total Reward
Run 1,68,24.663387209177017
Run 2,224,85.42034620046616
Run 3,63,23.809772305190563
Run 4,89,34.299310952425
Run 5,12,2.937075138092041
Average,91.2,34.225978361070155
