Run,Steps,Total Reward
Run 1,9,1.5937926173210144
Run 2,53,14.362873256206512
Run 3,102,28.12020193040371
Run 4,12,2.2876304984092712
Run 5,10,1.7131633013486862
Average,37.2,9.615532320737838
