Run,Steps,Total Reward
Run 1,22,5.2932551205158234
Run 2,57,16.717520147562027
Run 3,95,25.4740932174026966
Run 4,26,8.922047415599227
Run 5,28,9.851400057375431
Average,45.4,13.2481663191691041
