#{"t_start": 1729549721.708162, "env_id": "None"}
r,l,t
0.566292,5,18.130075
-0.5,1,18.192814
0.140985,4,18.25842
0.5573,4,18.324631
0.014516,3,18.389214
-0.5,1,18.451647
0.227054,3,18.514837
-0.195995,2,18.577872
-0.190614,2,18.640405
0.074818,3,18.704874
0.207683,3,18.768793
0.543255,4,18.834271
-0.178479,2,18.897297
0.372423,5,18.964937
-0.069746,3,19.031423
-0.5,1,19.092099
-0.563655,3,19.157162
-0.5,1,19.218098
0.550924,5,19.285075
-0.16647,2,19.346943
0.454978,4,19.411281
1.234203,7,19.480581
-0.5,1,19.541247
0.027491,3,19.605514
0.070035,4,19.670902
-0.5,1,19.730617
0.052176,3,19.794292
1.294337,7,19.865383
0.209366,4,19.932273
-0.055623,3,19.996805
-0.00525,4,20.062353
-0.5,1,20.123322
-0.5,1,20.184713
0.140939,3,20.247865
0.35646,4,20.312037
-0.5,1,20.372593
0.790633,7,20.441751
0.199405,4,20.508062
0.037924,3,20.571878
0.037941,3,20.63554
-0.5,1,20.695812
-0.273816,2,20.758255
-0.092905,3,20.826412
-0.5,1,20.887225
-0.04627,3,20.950657
0.742769,5,21.017273
-0.209154,2,21.07941
-0.5,1,21.140812
0.987638,6,21.208508
0.361207,4,21.274609
-0.20839,2,21.339554
-0.261156,2,21.403022
0.249024,3,21.468385
-0.26729,2,21.531778
-0.179553,3,21.595583
-0.128647,2,21.658122
0.013474,3,21.726333
-0.265399,2,21.78993
-0.5,1,21.84997
-0.5,1,21.912358
-0.171101,2,21.97484
0.658008,5,22.041379
0.270358,4,22.106985
-0.260565,2,22.16923
1.611512,8,22.239566
-0.199226,3,22.304219
-0.096388,3,22.369007
0.040376,3,22.433805
0.058113,3,22.498726
1.005892,7,22.569238
0.606823,5,22.636428
0.394347,4,22.702031
-0.392542,2,22.764072
-0.156113,4,22.828335
0.895238,6,22.897384
0.062131,3,22.96173
-0.192594,2,23.024073
1.231225,8,23.098517
0.047244,4,23.164184
0.127058,3,23.228001
-0.02188,3,23.291618
-0.039681,3,23.355361
0.039064,3,23.42046
1.077362,7,23.490574
-0.5,1,23.551649
0.210389,4,23.61897
0.739278,7,23.688585
-0.271814,5,23.756209
-0.267418,2,23.819208
-0.086981,3,23.882943
0.205264,4,23.948148
-0.234191,3,24.011154
0.244844,4,24.076847
-0.044412,3,24.141784
-0.5,1,24.202457
-0.363611,2,24.263572
0.445036,4,24.3288
0.271151,4,24.394472
-0.167407,3,24.45801
0.493923,6,24.529754
-0.023375,4,24.59754
0.120985,4,24.664275
-0.5,1,24.725698
0.014288,3,24.789296
-0.086853,4,24.857387
-0.318604,2,24.920104
-0.5,1,24.980528
-0.464674,3,25.043812
0.641495,6,25.112586
0.788449,5,25.179708
-0.213845,2,25.241012
-0.5,1,25.30267
-0.276803,2,25.365056
-0.5,1,25.426097
-0.218656,2,25.487843
-0.046086,7,25.557143
0.510069,5,25.625585
1.814705,10,25.699998
-0.187181,2,25.762233
0.133532,4,25.828958
2.169672,11,25.904202
-0.176256,3,25.969676
-0.017078,4,26.034373
0.65535,5,26.102221
-0.5,1,26.16364
-0.254339,2,26.226499
0.194328,4,26.292319
-0.180886,3,26.356257
0.189165,3,26.419764
-0.047673,3,26.483383
-0.185101,2,26.546872
-0.5,1,26.60898
0.174382,4,26.6747
0.161729,3,26.739558
-0.5,1,26.79934
1.274218,7,26.868831
-0.040934,5,26.935853
0.007214,3,27.000124
0.104846,5,27.067147
-0.202609,3,27.131734
-0.5,1,27.192091
-0.175179,2,27.254388
-0.339599,2,27.317698
0.438078,5,27.38468
-0.16029,2,27.446899
0.230235,4,27.512109
-0.5,1,27.572276
-0.5,1,27.63415
0.530576,5,27.701945
0.121128,3,27.765821
-0.180581,2,27.828301
0.07779,3,27.891383
-0.273315,2,27.95514
0.478755,4,28.022694
-0.5,1,28.083065
0.551294,4,28.149658
-0.312161,2,28.211915
-0.5,1,28.272854
0.72743,5,28.340071
0.096306,3,28.403069
-0.5,1,28.463663
1.036906,6,28.53174
0.195372,3,28.595843
0.637935,7,28.665367
0.023929,3,28.729857
-0.5,1,28.789956
-0.327973,2,28.852089
-0.030696,3,28.915996
0.55951,5,28.983249
0.810014,5,29.050441
0.366617,4,29.115939
-0.015378,3,29.182285
0.003039,4,29.254406
0.706231,6,29.327445
-0.5,1,29.390534
-0.199791,2,29.454279
0.300447,4,29.519971
-0.234998,2,29.582261
0.51185,5,29.648274
0.378121,4,29.713152
0.357002,4,29.777845
-0.263967,2,29.83986
-0.09701,3,29.903258
0.356598,5,29.971434
0.20016,4,30.037856
0.481258,4,30.104194
-0.5,1,30.165849
-0.5,1,30.227807
-0.317358,2,30.290704
-0.270097,2,30.353139
-0.275247,2,30.415339
-0.044025,3,30.4798
1.836335,8,30.550724
0.149987,4,30.616431
0.093023,3,30.679671
-0.086476,3,30.744682
-0.187146,2,30.807893
1.08511,6,30.876424
0.436571,4,30.942088
0.525406,5,31.008816
0.209667,3,31.07431
0.655462,5,31.141467
0.945438,6,31.210072
-0.361692,2,31.272301
-0.026977,3,31.335551
0.344083,4,31.399902
0.689397,7,31.469017
0.708183,6,31.53798
-0.20161,4,31.604951
-0.5,1,31.666533
0.146092,3,31.730135
-0.212654,2,31.791892
0.004969,3,31.856263
0.340949,4,31.920877
-0.5,1,31.982633
-0.300147,2,32.046356
-0.097478,3,32.110644
-0.5,1,32.171317
0.075887,3,32.234849
-0.5,1,32.297191
-0.5,1,32.358363
0.480353,5,32.425899
2.259067,12,32.503163
0.937714,5,32.570917
0.966688,6,32.639273
0.438244,4,32.704565
0.336489,4,32.768916
-0.016443,3,32.83312
0.774454,5,32.900486
0.91595,6,32.969335
0.864154,6,33.038298
0.353827,4,33.1043
-0.226591,2,33.165952
0.188507,4,33.230365
-0.208787,2,33.291926
2.318726,10,33.365572
0.140891,3,33.43173
0.175072,4,33.4983
-0.35361,2,33.560161
0.197537,4,33.624163
0.305557,5,33.690842
0.021306,3,33.755373
-0.5,1,33.817335
-0.5,1,33.877071
-0.5,1,33.936804
0.810003,5,34.007411
-0.5,1,34.06841
-0.148797,3,34.133932
0.107988,3,34.197123
0.769954,5,34.263968
1.645696,8,34.336539
-0.251225,2,34.399049
0.150751,3,34.462324
-0.124817,4,34.52732
0.537191,5,34.596278
0.840998,5,34.662734
0.024829,3,34.726226
-0.015221,3,34.789261
-0.202094,3,34.8536
-0.5,1,34.913718
-0.035606,3,34.977159
-0.5,1,35.037623
-0.5,1,35.09754
0.415328,4,35.164241
0.04806,3,35.229279
-0.5,1,35.293182
0.274299,5,35.365499
-0.5,1,35.430473
0.025833,3,35.495031
0.676313,5,35.562583
0.142442,4,35.629635
-0.225628,2,35.692363
-0.092349,3,35.755344
1.874903,9,35.828647
0.997984,8,35.900806
-0.5,1,35.962795
-0.114722,3,36.027286
0.323129,4,36.091847
0.242126,4,36.157387
0.085351,4,36.222792
0.111507,3,36.285732
0.638795,5,36.354749
0.364239,5,36.421456
-0.5,1,36.481794
0.091538,3,36.545861
0.425344,4,36.611307
0.825139,6,36.678974
-0.5,1,36.740914
-0.53336,3,36.80369
-0.003834,4,36.86934
-0.233166,2,36.934168
-0.195847,2,36.999534
0.15496,3,37.06468
0.490857,4,37.130827
0.915807,5,37.199233
0.004409,3,37.262803
-0.5,1,37.324844
0.06659,3,37.388542
0.578557,5,37.456434
-0.072991,3,37.520382
-0.222433,2,37.582916
0.221763,4,37.648424
0.043759,4,37.714174
0.425123,4,37.779329
0.375711,4,37.844241
0.282794,5,37.910513
0.168194,4,37.975704
-0.5,1,38.036397
0.037213,4,38.102372
-0.209442,2,38.170766
-0.5,1,38.231204
-0.041699,3,38.297349
0.123048,4,38.362913
0.523434,5,38.429883
0.528681,4,38.497571
0.030685,3,38.56153
-0.183563,2,38.622625
-0.379503,2,38.683826
-0.124982,3,38.747403
0.568918,5,38.814831
-0.5,1,38.87712
0.024354,3,38.940122
-0.5,1,39.000286
-0.187555,4,39.06488
