#{"t_start": 1729361209.829303, "env_id": "None"}
r,l,t
-0.187022,2,19.932089
0.811593,5,20.007906
0.164041,3,20.0787
-0.5,1,20.144839
-0.5,1,20.209363
1.594683,7,20.295095
0.137294,3,20.370016
-0.190614,2,20.438258
-0.5,1,20.506041
-0.5,1,20.576621
-0.164959,2,20.649042
1.989988,9,20.744432
0.823266,5,20.825274
0.093743,3,20.902125
-0.5,1,20.966701
1.799124,8,21.055372
-0.190619,2,21.131473
-0.5,1,21.20491
0.168936,3,21.28006
1.260258,6,21.36659
-0.5,1,21.43311
-0.5,1,21.502521
-0.178196,2,21.582339
-0.5,1,21.652087
0.470644,4,21.729408
1.471812,7,21.821567
-0.155618,2,21.894455
1.501853,7,21.980744
-0.18548,2,22.05347
0.444863,4,22.126945
1.095182,6,22.20728
0.074188,3,22.278552
0.143143,3,22.349427
0.479124,4,22.421003
-0.5,1,22.485969
-0.5,1,22.551038
0.878175,5,22.628063
0.097166,3,22.699135
1.064626,6,22.778238
1.984196,9,22.866118
0.527937,4,22.940485
-0.183588,2,23.008292
-0.5,1,23.072752
0.038242,3,23.141557
-0.5,1,23.205859
-0.5,1,23.270445
-0.145402,2,23.338168
1.133797,6,23.415877
-0.5,1,23.481188
0.170298,3,23.551061
0.511659,4,23.628187
-0.5,1,23.702124
0.109585,3,23.776685
1.954617,9,23.865569
-0.145998,2,23.933917
-0.180599,2,24.003535
-0.5,1,24.069212
-0.170639,2,24.136517
2.30214,10,24.225955
-0.184941,2,24.293221
-0.5,1,24.357308
0.415901,4,24.434198
-0.5,1,24.508462
-0.5,1,24.586307
-0.5,1,24.656993
0.944083,5,24.739256
-0.5,1,24.810356
-0.16568,2,24.880086
-0.5,1,24.949467
-0.5,1,25.021004
-0.5,1,25.089601
-0.154462,2,25.156476
0.693837,5,25.235889
-0.19876,2,25.307464
-0.5,1,25.373801
0.478204,4,25.451377
-0.190915,2,25.52531
-0.5,1,25.5932
-0.184209,2,25.666726
-0.245925,2,25.740662
-0.180958,2,25.816008
-0.179975,2,25.891789
-0.164781,2,25.96045
0.824885,5,26.036792
0.104032,3,26.112448
1.110151,6,26.191108
-0.5,1,26.255824
0.452683,4,26.328777
-0.5,1,26.395511
-0.5,1,26.467327
0.065918,3,26.543103
-0.5,1,26.610589
0.46508,4,26.699309
-0.5,1,26.764899
0.092475,3,26.838461
0.457049,4,26.922169
-0.182841,2,26.996407
-0.166043,2,27.076678
-0.172003,2,27.155232
0.196771,3,27.23165
-0.5,1,27.305642
-0.175212,2,27.379535
1.78671,8,27.473788
-0.179001,2,27.548554
-0.172594,2,27.620224
-0.191436,2,27.731113
-0.190848,2,27.828062
-0.5,1,27.903419
0.534776,4,27.984554
0.834385,5,28.070053
-0.5,1,28.141137
2.491366,10,28.246112
-0.5,1,28.322708
-0.272015,2,28.442234
-0.179572,2,28.516315
0.509861,4,28.594122
-0.5,1,28.661576
-0.5,1,28.727144
1.480454,7,28.811702
-0.5,1,28.885962
2.059464,9,28.985621
-0.5,1,29.05366
-0.5,1,29.123828
0.478847,4,29.207403
1.234095,6,29.297925
0.738608,5,29.3824
0.436934,4,29.459776
-0.1583,2,29.53353
1.748393,9,29.641397
1.084595,6,29.722176
0.150017,3,29.798867
0.829449,6,29.880373
-0.5,1,29.944938
0.173483,3,30.015035
2.239185,9,30.101929
-0.5,1,30.166749
0.539923,4,30.239794
3.702709,14,30.341886
-0.061984,3,30.416423
-0.5,1,30.48312
-0.5,1,30.548908
-0.225366,2,30.620446
-0.5,1,30.689732
0.177397,3,30.763943
1.177519,6,30.851454
-0.262578,2,30.92055
1.604817,7,31.003537
-0.173452,2,31.072934
-0.127962,3,31.146715
0.117476,3,31.219888
-0.5,1,31.285149
0.085239,3,31.356323
-0.5,1,31.421028
-0.5,1,31.486595
0.892559,5,31.564084
0.442668,4,31.638478
-0.5,1,31.703369
0.526041,4,31.777462
0.891423,5,31.853146
-0.5,1,31.918049
0.48912,4,31.992165
0.194265,3,32.067653
2.737132,11,32.162691
0.121504,3,32.237485
-0.195041,2,32.30514
-0.5,1,32.369869
-0.217991,2,32.442128
0.496967,4,32.517649
0.165439,3,32.59176
-0.188029,2,32.660248
1.19534,6,32.739517
