#{"t_start": 1729711700.560496, "env_id": "None"}
r,l,t
0.053979,3,0.216802
-0.150381,2,0.278603
-0.191831,2,0.342207
-0.5,1,0.402901
-0.174787,2,0.4641
-0.176397,2,1.116672
-0.162241,2,1.18222
-0.5,1,1.245218
0.183196,3,1.316146
0.152372,3,1.385347
-0.5,1,1.448492
-0.5,1,1.511636
-0.5,1,1.576716
-0.5,1,1.656158
-0.5,1,1.737564
-0.5,1,1.816959
-0.212304,2,1.884079
0.016085,3,1.952034
-0.5,1,2.015849
-0.5,1,2.084036
0.444474,4,2.162899
-0.159268,2,2.228595
-0.5,1,2.291655
0.144641,3,2.362785
0.168735,3,2.430378
-0.5,1,2.493577
-0.5,1,2.556722
-0.163593,2,2.622846
-0.5,1,2.685325
0.194399,3,2.761437
-0.5,1,2.837577
-0.179674,2,2.911097
-0.194247,2,2.98106
0.133743,3,3.049222
1.773178,8,3.127529
-0.5,1,3.197282
-0.182464,2,3.271668
0.163673,3,3.349205
-0.183436,2,3.421547
-0.5,1,3.492449
0.716395,5,3.56402
0.057008,3,3.635415
-0.178942,2,3.707699
-0.5,1,3.775319
-0.139979,3,3.864247
0.479459,4,3.942148
-0.5,1,4.009944
-0.5,1,4.072535
0.931261,5,4.15111
0.502308,4,4.229271
-0.5,1,4.298758
-0.185283,2,4.382129
-0.5,1,4.445358
0.454397,4,4.514351
-0.5,1,4.576724
-0.143265,2,4.641669
1.060436,6,4.715611
-0.5,1,4.777642
0.163816,3,4.845536
-0.166247,2,4.910753
-0.5,1,4.972114
0.19199,3,5.044207
1.161902,6,5.123416
-0.5,1,5.191062
-0.5,1,5.259145
-0.169378,2,5.327029
1.789852,8,5.407129
-0.5,1,5.46955
0.045175,3,5.536036
-0.5,1,5.598411
-0.172175,2,5.662716
-0.5,1,5.725178
-0.154032,2,5.790022
1.053202,6,5.8646
-0.5,1,5.927436
-0.19695,2,5.992012
-0.5,1,6.053876
0.188478,3,6.120881
0.531373,4,6.191368
-0.5,1,6.253607
0.506471,4,6.322806
0.88089,5,6.39419
2.078761,10,6.47698
-0.176991,2,6.541926
-0.5,1,6.604025
0.497181,4,6.673218
0.106721,3,6.746649
-0.195344,2,6.819736
-0.192845,2,6.894216
-0.191585,2,6.966415
-0.166466,2,7.039043
-0.166121,2,7.106063
-0.186382,2,7.172618
-0.178979,2,7.236785
0.527461,4,7.306296
1.568011,7,7.385033
-0.5,1,7.447978
-0.165889,2,7.514971
-0.162159,2,7.580462
-0.142938,2,7.64674
0.682713,5,7.717748
-0.5,1,7.783064
0.102578,3,7.855877
0.191703,3,7.929117
-0.5,1,7.996768
-0.5,1,8.065539
-0.5,1,8.136147
-0.213751,2,8.207582
-0.5,1,8.278
1.037302,6,8.353284
0.526118,4,8.423991
-0.179787,2,8.48898
0.072246,3,8.555404
0.149446,3,8.621836
2.149053,9,8.70439
-0.5,1,8.766607
-0.5,1,8.827682
-0.5,1,8.890112
-0.5,1,8.95194
-0.5,1,9.018261
-0.165067,2,9.087572
-0.5,1,9.159191
-0.5,1,9.229831
0.794338,5,9.306713
1.389045,7,9.385237
0.186885,3,9.452647
-0.5,1,9.515274
0.568066,4,9.583978
1.276275,6,9.658584
-0.182827,2,9.723599
0.14082,3,9.789649
-0.5,1,9.851481
-0.5,1,9.913953
-0.5,1,9.976772
2.011192,8,10.06004
0.457172,4,10.135203
0.08263,3,10.208156
0.079185,3,10.282464
0.177474,3,10.350058
-0.5,1,10.41155
0.383076,4,10.480532
0.796266,5,10.551055
-0.18272,2,10.616045
0.865683,5,10.689253
-0.143492,2,10.753988
-0.171218,2,10.817483
-0.5,1,10.880874
-0.5,1,10.94248
1.661201,8,11.020438
-0.5,1,11.082662
0.049086,3,11.150734
0.551473,4,11.222795
0.540398,4,11.291979
-0.188689,2,11.355853
-0.5,1,11.419857
0.554623,4,11.490133
-0.159134,2,11.553773
1.360006,7,11.628599
-0.187374,2,11.694294
-0.5,1,11.75609
0.507926,4,11.826142
-0.5,1,11.887023
-0.395993,2,11.952252
0.151592,3,12.018624
0.165602,3,12.085353
0.144979,3,12.151532
0.167737,3,12.217787
3.469461,12,12.304552
0.747729,5,12.376449
-0.5,1,12.439163
0.099455,3,12.505624
1.940648,9,12.585262
0.159197,3,12.652981
0.169843,3,12.720359
-0.201114,2,12.783818
-0.162649,2,12.847237
0.750101,5,12.917628
0.368955,4,12.986327
-0.5,1,13.048351
-0.5,1,13.109546
-0.5,1,13.173371
-0.5,1,13.234702
-0.5,1,13.296199
-0.5,1,13.357865
-0.5,1,13.42012
-0.5,1,13.488452
-0.5,1,13.557333
-0.5,1,13.626726
-0.5,1,13.691275
0.188624,3,13.757559
-0.232927,2,13.82183
-0.175996,2,13.886483
-0.5,1,13.950496
-0.5,1,14.01687
-0.5,1,14.084279
0.108664,3,14.155486
-0.187761,2,14.22191
-0.5,1,14.283974
-0.5,1,14.345315
-0.5,1,14.407233
-0.149011,2,14.473204
0.13028,3,14.53906
1.172614,6,14.611467
-0.5,1,14.67361
-0.5,1,14.734963
-0.168303,2,14.79912
1.23525,6,14.871482
0.90961,5,14.944614
-0.183072,2,15.008877
-0.5,1,15.071978
-0.14267,2,15.135692
0.528939,4,15.207355
-0.175093,2,15.277157
0.150397,3,15.346865
-0.16683,2,15.420493
-0.177929,2,15.497411
1.181642,7,15.572964
-0.5,1,15.635269
-0.168101,2,15.700463
-0.153365,2,15.765559
0.154539,3,15.831814
0.104341,3,15.899294
-0.5,1,15.960952
-0.182345,2,16.024916
-0.21286,2,16.089735
-0.15495,2,16.153357
-0.153225,2,16.217966
-0.144837,2,16.28196
0.124698,3,16.350903
1.260253,6,16.439256
-0.160826,2,16.515316
-0.5,1,16.588381
0.72369,5,16.672302
1.295363,7,16.757564
-0.5,1,16.820946
-0.5,1,16.882976
-0.5,1,16.947528
3.686761,13,17.043876
-0.158153,2,17.115764
-0.187205,2,17.184977
-0.214925,2,17.254584
-0.5,1,17.318022
-0.270958,2,17.387201
0.896163,5,17.464012
-0.5,1,17.526647
1.879797,8,17.606497
0.845879,5,17.687917
-0.156111,2,17.756649
1.695623,8,17.845606
0.161447,3,17.922453
-0.5,1,17.991903
-0.191249,2,18.063643
-0.5,1,18.132266
0.197109,3,18.205776
1.294384,7,18.281891
-0.5,1,18.345587
-0.5,1,18.40664
-0.143245,2,18.474894
0.446232,4,18.544653
-0.171564,2,18.609607
-0.5,1,18.672051
-0.5,1,18.73667
0.205326,3,18.803143
1.298152,6,18.875991
1.094759,6,18.953535
-0.5,1,19.022389
-0.211453,2,19.092743
0.541559,4,19.165655
0.169581,3,19.235853
1.034059,6,19.310409
0.162198,3,19.376588
0.093743,3,19.442383
2.603617,11,19.527178
-0.180888,2,19.592398
-0.5,1,19.654113
-0.20584,2,19.7192
0.168936,3,19.785618
0.550346,4,19.853242
-0.5,1,19.91483
-0.188043,2,19.978159
-0.5,1,20.040093
0.02763,4,20.109219
-0.180501,2,20.172641
-0.5,1,20.237747
0.535349,4,20.308951
0.494353,4,20.377763
-0.18548,2,20.44212
0.444863,4,20.509569
-0.5,1,20.5711
-0.212902,2,20.634379
0.791942,5,20.704578
1.479414,7,20.779911
-0.5,1,20.843576
0.105383,3,20.909551
1.222734,6,20.982508
0.398576,4,21.051577
-0.5,1,21.112852
-0.5,1,21.173681
-0.5,1,21.237085
0.131467,3,21.303897
